"Run ID","Assay Name","Test Name","Test Date","Qubit(TM) tube conc.","Units","Original sample conc.","Units","Sample Volume (uL)","Dilution Factor","Std 1 RFU","Std 2 RFU","Std 3 RFU","Excitation","Emission","Green RFU","Far Red RFU"
"2024-02-23","RNA Broad Range","Sample_#240223-165328","23/02/2024 16:53:28","0.950","ug/mL","190","ng/uL","1","200","467.45","17188.73",,"Red","Far Red",,"3789.55"
"2024-02-23","RNA Broad Range","Sample_#240223-165322","23/02/2024 16:53:22","0.931","ug/mL","186","ng/uL","1","200","467.45","17188.73",,"Red","Far Red",,"3718.96"
"2024-02-23","RNA Broad Range","Sample_#240223-165315","23/02/2024 16:53:15","0.531","ug/mL","106","ng/uL","1","200","467.45","17188.73",,"Red","Far Red",,"2258.48"
"2024-02-23","RNA Broad Range","Sample_#240223-165309","23/02/2024 16:53:09","0.508","ug/mL","102","ng/uL","1","200","467.45","17188.73",,"Red","Far Red",,"2174.53"
"2024-02-23","RNA Broad Range","Sample_#240223-165303","23/02/2024 16:53:03","0.751","ug/mL","150","ng/uL","1","200","467.45","17188.73",,"Red","Far Red",,"3058.52"
"2024-02-23","RNA Broad Range","Sample_#240223-165257","23/02/2024 16:52:57","0.387","ug/mL","77.4","ng/uL","1","200","467.45","17188.73",,"Red","Far Red",,"1740.72"
"2024-02-23","RNA Broad Range","Sample_#240223-165251","23/02/2024 16:52:51","0.760","ug/mL","152","ng/uL","1","200","467.45","17188.73",,"Red","Far Red",,"3091.53"
"2024-02-23","RNA Broad Range","Sample_#240223-165245","23/02/2024 16:52:45","0.691","ug/mL","138","ng/uL","1","200","467.45","17188.73",,"Red","Far Red",,"2840.27"
"2024-02-23","RNA Broad Range","Sample_#240223-165240","23/02/2024 16:52:40","0.875","ug/mL","175","ng/uL","1","200","467.45","17188.73",,"Red","Far Red",,"3515.44"
"2024-02-23","RNA Broad Range","Sample_#240223-165233","23/02/2024 16:52:33","0.604","ug/mL","121","ng/uL","1","200","467.45","17188.73",,"Red","Far Red",,"2523.31"
"2024-02-23","RNA Broad Range","Sample_#240223-165227","23/02/2024 16:52:27","0.740","ug/mL","148","ng/uL","1","200","467.45","17188.73",,"Red","Far Red",,"3018.54"
"2024-02-23","RNA Broad Range","Sample_#240223-165221","23/02/2024 16:52:21","0.330","ug/mL","66.0","ng/uL","1","200","467.45","17188.73",,"Red","Far Red",,"1537.52"
"2024-02-23","RNA Broad Range","Sample_#240223-165214","23/02/2024 16:52:14","0.238","ug/mL","47.6","ng/uL","1","200","467.45","17188.73",,"Red","Far Red",,"1218.96"
"2024-02-23","RNA Broad Range","Sample_#240223-165208","23/02/2024 16:52:08","0.299","ug/mL","59.8","ng/uL","1","200","467.45","17188.73",,"Red","Far Red",,"1429.20"
"2024-02-23","RNA Broad Range","Sample_#240223-165202","23/02/2024 16:52:02","0.144","ug/mL","28.8","ng/uL","1","200","467.45","17188.73",,"Red","Far Red",,"902.11"
"2024-02-23","RNA Broad Range","Sample_#240223-165155","23/02/2024 16:51:55","0.900","ug/mL","180","ng/uL","1","200","467.45","17188.73",,"Red","Far Red",,"3605.86"
"2024-02-23","RNA Broad Range","Sample_#240223-165149","23/02/2024 16:51:49","0.611","ug/mL","122","ng/uL","1","200","467.45","17188.73",,"Red","Far Red",,"2547.94"
"2024-02-23","RNA Broad Range","Sample_#240223-165143","23/02/2024 16:51:43","0.462","ug/mL","92.4","ng/uL","1","200","467.45","17188.73",,"Red","Far Red",,"2010.06"
"2024-02-23","RNA Broad Range","Sample_#240223-165137","23/02/2024 16:51:37","0.506","ug/mL","101","ng/uL","1","200","467.45","17188.73",,"Red","Far Red",,"2166.08"
"2024-02-23","RNA Broad Range","Sample_#240223-165130","23/02/2024 16:51:31","0.243","ug/mL","48.6","ng/uL","1","200","467.45","17188.73",,"Red","Far Red",,"1235.82"
"2024-02-23","RNA Broad Range","Sample_#240223-165123","23/02/2024 16:51:23","0.474","ug/mL","94.8","ng/uL","1","200","467.45","17188.73",,"Red","Far Red",,"2051.34"
"2024-02-23","RNA Broad Range","Sample_#240223-165116","23/02/2024 16:51:16","0.547","ug/mL","109","ng/uL","1","200","467.45","17188.73",,"Red","Far Red",,"2315.32"
"2024-02-23","RNA Broad Range","Sample_#240223-165108","23/02/2024 16:51:08","0.385","ug/mL","77.0","ng/uL","1","200","467.45","17188.73",,"Red","Far Red",,"1731.90"
"2024-02-23","RNA Broad Range","Sample_#240223-165046","23/02/2024 16:50:46","0.420","ug/mL","84.0","ng/uL","1","200","467.45","17188.73",,"Red","Far Red",,"1858.56"
"2024-02-23","RNA Broad Range","Sample_#240223-165038","23/02/2024 16:50:38","0.700","ug/mL","140","ng/uL","1","200","467.45","17188.73",,"Red","Far Red",,"2872.47"
"2024-02-23","RNA Broad Range","Sample_#240223-165032","23/02/2024 16:50:32","0.342","ug/mL","68.4","ng/uL","1","200","467.45","17188.73",,"Red","Far Red",,"1581.72"
"2024-02-23","RNA Broad Range","Sample_#240223-165025","23/02/2024 16:50:25","0.398","ug/mL","79.6","ng/uL","1","200","467.45","17188.73",,"Red","Far Red",,"1780.44"
"2024-02-23","RNA Broad Range","Sample_#240223-165018","23/02/2024 16:50:18","0.413","ug/mL","82.6","ng/uL","1","200","467.45","17188.73",,"Red","Far Red",,"1833.66"
"2024-02-23","RNA Broad Range","Sample_#240223-165012","23/02/2024 16:50:12","0.826","ug/mL","165","ng/uL","1","200","467.45","17188.73",,"Red","Far Red",,"3336.34"
"2024-02-23","RNA Broad Range","Sample_#240223-165005","23/02/2024 16:50:05","0.774","ug/mL","155","ng/uL","1","200","467.45","17188.73",,"Red","Far Red",,"3143.10"
"2024-02-23","RNA Broad Range","Sample_#240223-164958","23/02/2024 16:49:58","0.848","ug/mL","170","ng/uL","1","200","467.45","17188.73",,"Red","Far Red",,"3416.93"
"2024-02-23","RNA Broad Range","Sample_#240223-164952","23/02/2024 16:49:52","0.600","ug/mL","120","ng/uL","1","200","467.45","17188.73",,"Red","Far Red",,"2506.43"
